"","feature","method","group1","group2","p_values","adj_method","p_adjust","Compartment","Experiment","Variety","Timepoint","logFC","int_all","def_all"
"100","ko00360","LinDA","Defoliation","Intact","0.892107889073033","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0216555997240799,0.00593185882601546,0.00602157072564234
"101","ko00633","LinDA","Defoliation","Intact","0.727569504704552","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.130021452538863,0.00125393383622943,0.00137219230281147
"102","ko00630","LinDA","Defoliation","Intact","0.479074688841504","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0584840331513903,0.0125753154097303,0.0130955678466448
"103","ko00363","LinDA","Defoliation","Intact","0.833064843663517","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0122240378614312,0.000634904170955181,0.000640306605674102
"104","ko00364","LinDA","Defoliation","Intact","0.966058921340473","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0166367000945701,0.000595512178216963,0.000588684365038519
"105","ko05130","LinDA","Defoliation","Intact","0.506320169609927","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.577926858256504,2.1305190883398e-06,1.42728962849435e-06
"106","ko04115","LinDA","Defoliation","Intact","0.19196044299102","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.159668288982164,0.000914679023048737,0.00102172416143291
"107","ko04114","LinDA","Defoliation","Intact","0.14167785508478","BH",0.999592632031329,"Root","Exp1","NIP","day1",-1.53168122145084,6.77599668619566e-07,2.34364157453358e-07
"108","ko00121","LinDA","Defoliation","Intact","0.844966387772076","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.167997380144089,2.98390737905733e-06,3.35241356321967e-06
"109","ko04914","LinDA","Defoliation","Intact","0.544513891025542","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0691835830773248,0.000658259759682705,0.000627438224675022
"110","ko00430","LinDA","Defoliation","Intact","0.84236314420691","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0261844802021512,0.00185906538715443,0.00182562826536837
"111","ko02010","LinDA","Defoliation","Intact","0.803367013418913","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0301966227312859,0.0413735728392099,0.0422486771687987
"112","ko00130","LinDA","Defoliation","Intact","0.885478822579195","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.00942522657461821,0.00564374092506745,0.00568073257817173
"113","ko04330","LinDA","Defoliation","Intact","0.57637855930691","BH",0.999592632031329,"Root","Exp1","NIP","day1",1.88729371841585,1.43935787264929e-07,5.32476943556347e-07
"114","ko03050","LinDA","Defoliation","Intact","0.888444823543807","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.135869186174565,1.37559096710375e-05,1.51143688277862e-05
"115","ko00361","LinDA","Defoliation","Intact","0.64987253589324","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0890015808099994,0.000902450999631541,0.000959877420662967
"116","ko00040","LinDA","Defoliation","Intact","0.687810130477233","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0575357271803916,0.00374568324563059,0.00389808251533857
"117","ko00730","LinDA","Defoliation","Intact","0.939262340304853","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0183580791211395,0.00529768301602474,0.00523069788192708
"118","ko00362","LinDA","Defoliation","Intact","0.860737357344379","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0345634533087948,0.00537906591862704,0.00550949131313677
"119","ko01040","LinDA","Defoliation","Intact","0.613209029053226","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0556272552819167,0.00458778699087897,0.00441425861389588
"120","ko00603","LinDA","Defoliation","Intact","0.958526780195532","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0670759064228116,0.000184376765406567,0.000193151485028454
"121","ko03018","LinDA","Defoliation","Intact","0.90642730482869","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0224055668261637,0.0097967352650615,0.00964576383828076
"122","ko04270","LinDA","Defoliation","Intact","0.14167785508478","BH",0.999592632031329,"Root","Exp1","NIP","day1",-1.53168122145084,6.77599668619566e-07,2.34364157453358e-07
"123","ko00281","LinDA","Defoliation","Intact","0.634735757598101","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0739861101456781,0.00418057568258284,0.00397158673620576
"124","ko00280","LinDA","Defoliation","Intact","0.858777290196096","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0250330011657935,0.0124487703851838,0.0122346280948984
"125","ko03013","LinDA","Defoliation","Intact","0.574103017734468","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.115553324794561,0.00130698850843486,0.00120638728789719
"126","ko04626","LinDA","Defoliation","Intact","0.855699562470347","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0118026547684962,0.00291224395202395,0.00293616667464714
"127","ko05200","LinDA","Defoliation","Intact","0.534793121464149","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0615711052934562,0.00210107579080517,0.00219268612411136
"128","ko03015","LinDA","Defoliation","Intact","0.642120938182439","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.268797671105166,3.67523954454883e-06,3.05048918066837e-06
"129","ko00312","LinDA","Defoliation","Intact","0.975212323933004","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.115820338019894,1.32468766348535e-05,1.22249782745099e-05
"130","ko05020","LinDA","Defoliation","Intact","0.843548520034742","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0156023383139538,0.000241633360156295,0.000239034243481425
"131","ko05143","LinDA","Defoliation","Intact","0.247639519796422","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.328420792432985,0.000359426372113488,0.000286249956674498
"132","ko00523","LinDA","Defoliation","Intact","0.682170752546888","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0401378649158665,0.00286008399385449,0.00294077290830476
"133","ko00520","LinDA","Defoliation","Intact","0.848368901180935","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0300534599307283,0.0157674047335419,0.0154423440003706
"134","ko00521","LinDA","Defoliation","Intact","0.857648202894094","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0124893132747319,0.00526358558948041,0.00530934989694518
"135","ko05146","LinDA","Defoliation","Intact","0.34277894279649","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.187924817072841,0.00027205499870899,0.000238828253708225
"136","ko05145","LinDA","Defoliation","Intact","0.400778154307946","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0984891825327563,0.00103375682274574,0.00110679346722908
"137","ko05144","LinDA","Defoliation","Intact","0.531367119070833","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.835690440669061,1.62888370123939e-07,9.12687679571283e-08
"138","ko00052","LinDA","Defoliation","Intact","0.795362187668471","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0372075019598719,0.00495878114626084,0.0048325278677459
"139","ko00053","LinDA","Defoliation","Intact","0.387494174426344","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.136635317011833,0.00203743046686766,0.00223982519216908
"140","ko00051","LinDA","Defoliation","Intact","0.837831339065019","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0321942338476242,0.00693680661093197,0.00678372379636726
"141","ko00401","LinDA","Defoliation","Intact","0.787724737580416","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.026018404418031,0.00230452003568305,0.00234645812639961
"142","ko00400","LinDA","Defoliation","Intact","0.971460712073865","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.00235470442002094,0.0129559692022461,0.0129348402774706
"143","ko04020","LinDA","Defoliation","Intact","0.42607236809021","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.273498347743388,2.99860406752444e-06,2.48077809989696e-06
"144","ko00350","LinDA","Defoliation","Intact","0.945825838379765","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.00665553048423818,0.00490901219077294,0.00488641778746638
